charge,anlage,area,product,recipe,start,ende,diff,diffm
6274939_6274943,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-19 14:38:02.722000+00:00,2020-05-19 15:11:24.327000+00:00,0 days 00:33:21.605000,33.360083333333336
6274966_6274970,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-19 14:11:23.152000+00:00,2020-05-19 14:34:12.277000+00:00,0 days 00:22:49.125000,22.81875
6274975_6274979,Keimfiltration_1_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_1,SIP,RP07_SIP_TRANS_FLT,2020-05-19 14:26:44.321000+00:00,2020-05-19 15:24:12.626000+00:00,0 days 00:57:28.305000,57.47175
6275024_6275028,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-19 15:31:41.477000+00:00,2020-05-19 15:58:10.468000+00:00,0 days 00:26:28.991000,26.483183333333333
6276117_6276128,Abfuellbeh_2_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_2,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-19 18:29:09.714000+00:00,2020-05-19 19:36:44.921000+00:00,0 days 01:07:35.207000,67.58678333333333
6276132_6276144,Keimfiltration_2_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_2,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-19 19:46:30.815000+00:00,2020-05-19 20:53:17.098000+00:00,0 days 01:06:46.283000,66.77138333333333
6276153_6276165,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-19 18:28:56.392000+00:00,2020-05-19 18:46:24.959000+00:00,0 days 00:17:28.567000,17.476116666666666
6280266_6280270,Keimfiltration_2_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_2,SIP,RP07_SIP_TRANS_FLT,2020-05-19 20:56:20.750000+00:00,2020-05-19 21:22:46.359000+00:00,0 days 00:26:25.609000,26.426816666666667
6280304_6280312,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-19 21:59:53.853000+00:00,2020-05-19 23:22:17.843000+00:00,0 days 01:22:23.990000,82.39983333333333
6280305_6280313,Partikelfiltration_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112011A,Partikelfiltration,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112011A,2020-05-19 21:09:00.639000+00:00,2020-05-19 21:32:21.261000+00:00,0 days 00:23:20.622000,23.3437
6280314_6280318,Ansatz_Transfer_#_CIP_PLS_A_#_RP05_CIP_TRANSFER,Ansatz_Transfer,CIP_PLS_A,RP05_CIP_TRANSFER,2020-05-19 22:00:08.326000+00:00,2020-05-19 22:15:46.442000+00:00,0 days 00:15:38.116000,15.635266666666666
6280323_6280327,Partikelfiltration_#_SIP_#_RP07_SIP_TRANS_FLT,Partikelfiltration,SIP,RP07_SIP_TRANS_FLT,2020-05-19 21:33:16.311000+00:00,2020-05-19 21:56:03.759000+00:00,0 days 00:22:47.448000,22.7908
6280353_6280357,Ansatz_Transfer_#_SIP_#_RP08_SIP_TRANSFER,Ansatz_Transfer,SIP,RP08_SIP_TRANSFER,2020-05-19 22:19:21.309000+00:00,2020-05-19 22:46:30.593000+00:00,0 days 00:27:09.284000,27.154733333333333
6280644_6280650,Abfuellbeh_1_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Abfuellbeh_1,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-20 01:58:18.372000+00:00,2020-05-20 03:08:24.846000+00:00,0 days 01:10:06.474000,70.1079
6280653_6280661,Keimfiltration_1_#_CIP_PLS_A_#_RP04_CIP_TRANS_FLT_U112021AB,Keimfiltration_1,CIP_PLS_A,RP04_CIP_TRANS_FLT_U112021AB,2020-05-20 03:12:25.747000+00:00,2020-05-20 04:19:29.955000+00:00,0 days 01:07:04.208000,67.07013333333333
6280662_6280670,Ventilknoten_Abf_#_CIP_PLS_A_#_RP35_CIP_ABF_KNT,Ventilknoten_Abf,CIP_PLS_A,RP35_CIP_ABF_KNT,2020-05-20 01:11:58.591000+00:00,2020-05-20 01:29:25.573000+00:00,0 days 00:17:26.982000,17.4497
6280920_6280925,Ventilknoten_Abf_#_CIP_PLS_A_#_RP23_CIP_FUELLER,Ventilknoten_Abf,CIP_PLS_A,RP23_CIP_FUELLER,2020-05-20 01:34:24.565000+00:00,2020-05-20 02:26:19.097000+00:00,0 days 00:51:54.532000,51.90886666666667
6283141_6283145,Keimfiltration_1_#_SIP_#_RP07_SIP_TRANS_FLT,Keimfiltration_1,SIP,RP07_SIP_TRANS_FLT,2020-05-20 04:27:19.286000+00:00,2020-05-20 05:00:19.203000+00:00,0 days 00:32:59.917000,32.99861666666666
6283170_6283178,Loesebehaelter_#_CIP_PLS_A_#_RP03_CIP_BEHAELTER,Loesebehaelter,CIP_PLS_A,RP03_CIP_BEHAELTER,2020-05-20 05:36:17.747000+00:00,2020-05-20 06:56:48.849000+00:00,0 days 01:20:31.102000,80.51836666666667
